"ID","Outcome Date","Animal ID","Name","Outcome Status","Euthanasia Reason","Type","Sex","Spayed/Neutered","Primary Breed","Primary Color","Secondary Color","Date of Birth","Intake Date","Days in Shelter","Timestamp"
"13242","2025-05-06T13:15:00","5952","ASH","Adopted",,"Cat","Male","Yes","Domestic Shorthair","BLUE TABBY",,"2018 Jan 28 12:00:00 AM","2025 Apr 19 12:00:00 AM","396","2026 May 20 04:07:03 PM"
"13243","2025-05-06T13:15:00","6623","MOMMA","Adopted",,"Cat","Female","Yes","Domestic Shorthair","BLUE TABBY",,"2022 Apr 19 12:00:00 AM","2025 Apr 19 12:00:00 AM","396","2026 May 20 04:07:03 PM"
"13241","2025-05-06T13:21:00","6824",,"Euthanized","Injured","Cat","Unknown","No","Domestic Shorthair","Blue",,"2023 May 03 12:00:00 AM","2025 May 03 12:00:00 AM","382","2026 May 20 04:07:03 PM"
"13275","2025-05-06T14:18:00","6508","ASH","Adopted",,"Cat","Male","Yes","Domestic Shorthair","BLUE TABBY",,"2024 Apr 10 12:00:00 AM","2025 Apr 10 12:00:00 AM","405","2026 May 20 04:07:03 PM"
"13278","2025-05-06T14:48:00","6145","ZELL","Adopted",,"Dog","Female","Yes","Cane Corso","Blue","White","2019 Dec 18 12:00:00 AM","2024 Dec 18 12:00:00 AM","518","2026 May 20 04:07:03 PM"
"13289","2025-05-06T15:29:00","6124","*ORLANDO","Adopted",,"Dog","Male","Yes","Doberman Pinscher","Tri Color",,"2024 Aug 15 12:00:00 AM","2025 Feb 19 12:00:00 AM","455","2026 May 20 04:07:03 PM"
"13292","2025-05-06T15:35:00","6981","Unknown","Unassisted Death",,"Puppy","Male","No","German Shepherd","White","White","2025 Apr 25 12:00:00 AM","2025 May 06 11:46:00 AM","379","2026 May 20 04:07:03 PM"
"13298","2025-05-06T15:49:00","6345","*ASTRID","Adopted",,"Dog","Female","Yes","German Shepherd","Black","Brown","2025 Feb 11 12:00:00 AM","2025 Apr 09 12:00:00 AM","406","2026 May 20 04:07:03 PM"
"13304","2025-05-06T16:13:00","6945",,"Adopted",,"Cat","Female","yes","Domestic Shorthair","Calico","White","2025 Jan 05 12:00:00 AM","2025 Apr 28 03:14:00 PM","387","2026 May 20 04:07:03 PM"
"13306","2025-05-06T16:17:00","6959",,"Adopted",,"Dog","Male","yes","Australian Kelpie","Black","Brown","2025 Feb 10 12:00:00 AM","2025 Apr 29 05:51:00 PM","386","2026 May 20 04:07:03 PM"
"13310","2025-05-06T16:24:00","6953",,"Adopted",,"Cat","Male","yes","Domestic Shorthair","Brown Tabby",,"2025 Mar 03 12:00:00 AM","2025 Apr 28 05:12:00 PM","387","2026 May 20 04:07:03 PM"
"13311","2025-05-06T16:25:00","6954",,"Adopted",,"Cat","Male","Yes","Domestic Shorthair","Black",,"2025 Mar 03 12:00:00 AM","2025 Apr 28 05:28:00 PM","387","2026 May 20 04:07:03 PM"
"13316","2025-05-06T16:26:00","6536","*CORIANDER","Adopted",,"Dog","Male","Yes","German Shepherd","Black","Brown","2024 Apr 13 12:00:00 AM","2025 Apr 13 12:00:00 AM","402","2026 May 20 04:07:03 PM"
"13321","2025-05-06T16:51:00","6958",,"Adopted",,"Dog","Female","Yes","Chihuahua - Smooth","Tri Color",,"2020 May 05 12:00:00 AM","2025 Apr 30 05:43:00 PM","385","2026 May 20 04:07:03 PM"
"13327","2025-05-06T17:20:00","6726","*MAGGIE MAY","Transfer Out",,"Dog","Female","No","Labrador Retriever","Tan","White","2023 Apr 28 12:00:00 AM","2025 Apr 28 12:00:00 AM","387","2026 May 20 04:07:03 PM"
"13328","2025-05-06T17:20:00","6989",,"Transfer Out",,"Dog","Unknown","No","Labrador Retriever","White",,"2025 May 05 12:00:00 AM","2025 May 04 10:37:00 PM","381","2026 May 20 04:07:03 PM"
"13329","2025-05-06T17:20:00","6990",,"Transfer Out",,"Dog","Unknown","No","Labrador Retriever","White",,"2025 May 05 12:00:00 AM","2025 May 04 10:37:00 PM","381","2026 May 20 04:07:03 PM"
"13330","2025-05-06T17:20:00","6991",,"Transfer Out",,"Dog","Unknown","No","Labrador Retriever","White",,"2025 May 05 12:00:00 AM","2025 May 04 10:37:00 PM","381","2026 May 20 04:07:03 PM"
"13331","2025-05-06T17:20:00","6992",,"Transfer Out",,"Dog","Unknown","No","Labrador Retriever","Tan",,"2025 May 05 12:00:00 AM","2025 May 04 10:37:00 PM","381","2026 May 20 04:07:03 PM"
"13334","2025-05-06T17:26:00","6957","*ASPARAGUS","Adopted",,"Dog","Female","Yes","Siberian Husky","Black","Brown","2025 Feb 25 12:00:00 AM","2025 Mar 27 05:32:00 PM","419","2026 May 20 04:07:03 PM"
"13339","2025-05-06T17:45:00","6519","CHAI","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Torbie","White","2023 Apr 11 12:00:00 AM","2025 May 02 12:00:00 AM","383","2026 May 20 04:07:03 PM"
"13341","2025-05-06T17:59:00","6960",,"Adopted",,"Dog","Male","yes","Border Collie","Black","White","2025 Feb 24 12:00:00 AM","2025 May 01 05:58:00 PM","384","2026 May 20 04:07:03 PM"
"13344","2025-05-06T18:12:00","6933","*ladybug","Adopted",,"Cat","Female","yes","Domestic Shorthair","Torbie",,"2024 Dec 23 12:00:00 AM","2025 Apr 29 02:28:00 PM","386","2026 May 20 04:07:03 PM"
"13345","2025-05-06T18:30:00","6366","FLUFFY","Adopted",,"Cat","Male","Yes","Domestic Medium Hair","Orange Tabby",,"2013 Apr 08 12:00:00 AM","2025 Mar 19 12:00:00 AM","427","2026 May 20 04:07:03 PM"
"13352","2025-05-06T21:12:00","7021",,"Euthanized","Neurological","Mammal","Unknown","Unknown","Bat - Unspecified","Brown",,,"2025 May 06 08:46:00 PM","379","2026 May 20 04:07:03 PM"
"13559","2025-05-07T00:00:00","6936","Chandra","Adopted",,"Cat","Female","yes","Domestic Shorthair","Tortoiseshell",,"2024 Apr 29 12:00:00 AM","2025 Apr 29 03:37:00 PM","386","2026 May 20 04:07:03 PM"
"13381","2025-05-07T09:26:00","6843","Gully","Unassisted Death - In Foster",,"Kitten","Female","No","Domestic Shorthair","Brown Tabby","White","2025 May 01 12:00:00 AM","2025 May 03 12:00:00 AM","382","2026 May 20 04:07:03 PM"
"13410","2025-05-07T11:17:00","6676","SOFTIE","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Grey",,"2022 Apr 24 12:00:00 AM","2025 Apr 24 12:00:00 AM","391","2026 May 20 04:07:03 PM"
"13423","2025-05-07T12:00:00","5967","KAZMIK","Adopted",,"Cat","Male","Yes","Domestic Medium Hair","Blue","White","2020 May 26 12:00:00 AM","2025 Jan 30 12:00:00 AM","475","2026 May 20 04:07:03 PM"
"13453","2025-05-07T12:50:00","6258","*MISSY ELLIOTT","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Brown Tabby",,"2025 Feb 26 12:00:00 AM","2025 Feb 26 12:00:00 AM","448","2026 May 20 04:07:03 PM"
"13455","2025-05-07T12:55:00","7041",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Black","White","2025 May 05 12:00:00 AM","2025 May 07 11:09:00 AM","378","2026 May 20 04:07:03 PM"
"13456","2025-05-07T12:55:00","7042",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Black",,"2025 May 05 12:00:00 AM","2025 May 07 11:09:00 AM","378","2026 May 20 04:07:03 PM"
"13457","2025-05-07T12:55:00","7043",,"Transfer Out",,"Cat","Male","No","Domestic Shorthair","Black",,"2025 May 05 12:00:00 AM","2025 May 07 11:09:00 AM","378","2026 May 20 04:07:03 PM"
"13458","2025-05-07T12:55:00","7044",,"Transfer Out",,"Cat","Male","No","Domestic Shorthair","White",,"2025 May 05 12:00:00 AM","2025 May 07 11:09:00 AM","378","2026 May 20 04:07:03 PM"
"13459","2025-05-07T12:55:00","7045",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Calico",,"2025 May 05 12:00:00 AM","2025 May 07 11:09:00 AM","378","2026 May 20 04:07:03 PM"
"13463","2025-05-07T12:58:00","6434","*BABY BILLY","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby",,"2023 Apr 01 12:00:00 AM","2025 Apr 01 12:00:00 AM","414","2026 May 20 04:07:03 PM"
"13470","2025-05-07T13:37:00","6791",,"Reclaimed",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby",,"2023 May 01 12:00:00 AM","2025 May 01 12:00:00 AM","384","2026 May 20 04:07:03 PM"
"13471","2025-05-07T13:48:00","6905","Canelo","Transfer Out",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby","White","2023 May 05 12:00:00 AM","2025 May 05 12:15:00 PM","380","2026 May 20 04:07:03 PM"
"13472","2025-05-07T13:48:00","6909","Coco","Transfer Out",,"Cat","Unknown","Unknown","Domestic Shorthair","Brown Tabby","White","2023 May 05 12:00:00 AM","2025 May 05 12:36:00 PM","380","2026 May 20 04:07:03 PM"
"13473","2025-05-07T13:54:00","6235","*GOOSE","Transfer Out",,"Dog","Male","Yes","American Pit Bull Terrier","Brown Brindle","White","2023 Feb 20 12:00:00 AM","2025 Feb 20 12:00:00 AM","454","2026 May 20 04:07:03 PM"
"13488","2025-05-07T14:43:00","6653","*PETUNIA","Adopted",,"Dog","Female","Yes","Siberian Husky","Brown","Grey","2022 Apr 23 12:00:00 AM","2025 Apr 23 12:00:00 AM","392","2026 May 20 04:07:03 PM"
"13489","2025-05-07T15:12:00","7023",,"Transfer Out",,"Cat","Male","No","Domestic Shorthair","Blue",,"2025 Apr 20 12:00:00 AM","2025 May 06 09:25:00 PM","379","2026 May 20 04:07:03 PM"
"13490","2025-05-07T15:12:00","7029",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Grey Tabby",,,"2025 May 06 09:25:00 PM","379","2026 May 20 04:07:03 PM"
"13491","2025-05-07T15:12:00","7024",,"Transfer Out",,"Cat","Male","No","Domestic Shorthair","Grey Tabby",,"2025 Apr 23 12:00:00 AM","2025 May 06 09:25:00 PM","379","2026 May 20 04:07:03 PM"
"13492","2025-05-07T15:12:00","7025",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Grey Tabby",,,"2025 May 06 09:25:00 PM","379","2026 May 20 04:07:03 PM"
"13493","2025-05-07T15:12:00","7026",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Grey Tabby",,,"2025 May 06 09:25:00 PM","379","2026 May 20 04:07:03 PM"
"13494","2025-05-07T15:12:00","7027",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Grey Tabby",,,"2025 May 06 09:25:00 PM","379","2026 May 20 04:07:03 PM"
"13495","2025-05-07T15:12:00","7028",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Grey Tabby",,,"2025 May 06 09:25:00 PM","379","2026 May 20 04:07:03 PM"
"13504","2025-05-07T15:28:00","6867",,"Reclaimed",,"Dog","Male","No","Shih Tzu","White","Blue","2024 May 04 12:00:00 AM","2025 May 04 12:00:00 AM","381","2026 May 20 04:07:03 PM"
"13518","2025-05-07T16:23:00","6495",,"Reclaimed",,"Cat","Male","Yes","Domestic Shorthair","Blue","White","2023 Apr 09 12:00:00 AM","2025 Apr 09 12:00:00 AM","406","2026 May 20 04:07:03 PM"
"13530","2025-05-07T16:54:00","6943","Merle","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Black","Black","2025 Feb 05 12:00:00 AM","2025 May 05 03:22:00 PM","380","2026 May 20 04:07:03 PM"
"13544","2025-05-07T17:17:00","6928",,"Adopted",,"Dog","Female","Yes","Labrador Retriever","Grey","White","2025 Jan 05 12:00:00 AM","2025 May 05 01:53:00 PM","380","2026 May 20 04:07:03 PM"
"13548","2025-05-07T17:30:00","6961",,"Adopted",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby",,"2024 Jun 05 12:00:00 AM","2025 May 05 05:59:00 PM","380","2026 May 20 04:07:03 PM"
"13550","2025-05-07T17:48:00","6949",,"Adopted",,"Kitten","Male","Yes","Domestic Shorthair","Brown Tabby","Brown Tabby",,"2025 May 05 03:34:00 PM","380","2026 May 20 04:07:03 PM"
"13551","2025-05-07T17:49:00","6029","QUEEN","Transfer Out",,"Dog","Female","Yes","American Pit Bull Terrier","Chocolate","White","2021 Apr 26 12:00:00 AM","2024 Apr 26 12:00:00 AM","754","2026 May 20 04:07:03 PM"
"13553","2025-05-07T18:06:00","6813",,"Adopted",,"Cat","Male","Yes","Domestic Shorthair","Black","White","2025 Jan 02 12:00:00 AM","2025 May 02 12:00:00 AM","383","2026 May 20 04:07:03 PM"
"13557","2025-05-07T18:24:00","6674","HULK","Adopted",,"Dog","Male","Yes","Rottweiler","Black","Tan","2023 Apr 24 12:00:00 AM","2025 Apr 24 12:00:00 AM","391","2026 May 20 04:07:03 PM"
"13558","2025-05-07T18:28:00","6944",,"Adopted",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby","White","2025 Jan 05 12:00:00 AM","2025 Apr 28 03:14:00 PM","387","2026 May 20 04:07:03 PM"
"13560","2025-05-07T18:36:00","6341","*AZUL","Adopted",,"Dog","Male","Yes","German Shepherd","Black","Brown","2024 Mar 18 12:00:00 AM","2025 Mar 18 12:00:00 AM","428","2026 May 20 04:07:03 PM"
"13561","2025-05-07T18:40:00","7116",,"DOA",,"Mammal","Unknown","Unknown","Bat - Unspecified","Brown","Black",,"2025 May 07 06:40:00 PM","378","2026 May 20 04:07:03 PM"
"13562","2025-05-07T19:24:00","6855",,"Euthanized","Neurological","Dog","Female","No","Chihuahua - Smooth","White",,"2022 May 04 12:00:00 AM","2025 May 04 12:00:00 AM","381","2026 May 20 04:07:03 PM"
"13563","2025-05-07T19:29:00","7069",,"Transfer Out",,"Dog","Male","Unknown","Chihuahua - Smooth","White","Black","2025 Jan 07 12:00:00 AM","2025 May 07 01:17:00 PM","378","2026 May 20 04:07:03 PM"
"13566","2025-05-07T21:12:00","7119",,"DOA",,"Mammal","Unknown","Unknown","Fox - Grey","Grey","Grey",,"2025 May 07 09:12:00 PM","378","2026 May 20 04:07:03 PM"
"13568","2025-05-07T23:23:00","7121",,"DOA",,"Mammal","Unknown","Unknown","Bat - Little Brown Myotis","Brown",,,"2025 May 07 11:23:00 PM","378","2026 May 20 04:07:00 PM"
"13591","2025-05-08T11:05:00","6972","Oswold","Reclaimed",,"Dog","Male","Yes","Boxer","Tan","White","2015 May 06 12:00:00 AM","2025 May 04 10:55:00 PM","381","2026 May 20 04:07:00 PM"
"13647","2025-05-08T12:20:00","6672","BISCUIT","Adopted",,"Rabbit","Male","Yes","American","Tan",,"2024 Dec 02 12:00:00 AM","2025 Apr 24 12:00:00 AM","391","2026 May 20 04:07:00 PM"
"13709","2025-05-08T13:37:00","6833",,"Unassisted Death",,"Puppy","Unknown","No","Boxer","Brown",,"2025 Apr 30 12:00:00 AM","2025 May 01 12:00:00 AM","384","2026 May 20 04:07:00 PM"
"13714","2025-05-08T13:39:00","7020",,"Reclaimed",,"Dog","Male","Yes","Chihuahua - Smooth","Black","White","2013 May 06 12:00:00 AM","2025 May 06 07:24:00 PM","379","2026 May 20 04:07:00 PM"
"13715","2025-05-08T13:40:00","6817",,"Transfer Out",,"Dog","Male","No","Shih Tzu","Brown","Chocolate","2019 May 03 12:00:00 AM","2025 May 02 12:00:00 AM","383","2026 May 20 04:07:00 PM"
"13735","2025-05-08T14:08:00","6834",,"Unassisted Death",,"Dog","Unknown","No","Boxer","Brown",,"2025 May 03 12:00:00 AM","2025 May 01 12:00:00 AM","384","2026 May 20 04:07:00 PM"
"13826","2025-05-08T16:18:00","6804","CHOWDER","Adopted",,"Cat","Female","yes","Domestic Shorthair","Orange Tabby",,"2024 Aug 02 12:00:00 AM","2025 May 02 12:00:00 AM","383","2026 May 20 04:07:00 PM"
"13834","2025-05-08T16:33:00","6937","*clover","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Tortoiseshell","Tortoiseshell","2024 Apr 05 12:00:00 AM","2025 May 05 02:33:00 PM","380","2026 May 20 04:07:00 PM"
"13841","2025-05-08T16:40:00","6941","Jupiter","Adopted",,"Cat","Male","yes","Domestic Shorthair","Orange Tabby",,"2025 Feb 17 12:00:00 AM","2025 May 02 04:49:00 PM","383","2026 May 20 04:07:00 PM"
"13512","2025-05-08T17:01:00","7095",,"DOA",,"Mammal","Unknown","Unknown","Bat - Unspecified","Brown","Black",,"2025 May 07 03:59:00 PM","378","2026 May 20 04:07:00 PM"
"13867","2025-05-08T17:16:00","7142",,"Transfer Out",,"Cat","Male","No","Domestic Shorthair","Grey Tabby",,"2025 May 07 12:00:00 AM","2025 May 08 01:26:00 PM","377","2026 May 20 04:07:00 PM"
"13868","2025-05-08T17:16:00","7143",,"Transfer Out",,"Cat","Unknown","Unknown","Domestic Shorthair","Grey Tabby",,"2025 May 07 12:00:00 AM","2025 May 08 01:26:00 PM","377","2026 May 20 04:07:00 PM"
"13869","2025-05-08T17:16:00","7144",,"Transfer Out",,"Cat","Unknown","Unknown","Domestic Shorthair","Grey Tabby",,"2025 May 07 12:00:00 AM","2025 May 08 01:26:00 PM","377","2026 May 20 04:07:00 PM"
"13870","2025-05-08T17:16:00","7145",,"Transfer Out",,"Cat","Unknown","Unknown","Domestic Shorthair","Black",,"2025 May 07 12:00:00 AM","2025 May 08 01:26:00 PM","377","2026 May 20 04:07:00 PM"
"13897","2025-05-08T18:02:00","6963","Sasha","Reclaimed",,"Dog","Female","Unknown","German Shepherd","Black","Brown","2025 Jan 06 12:00:00 AM","2025 May 05 08:11:00 PM","380","2026 May 20 04:07:00 PM"
"13899","2025-05-08T18:04:00","6964","Raiden","Reclaimed",,"Dog","Male","No","German Shepherd","Brown","Black","2025 Jan 06 12:00:00 AM","2025 May 05 08:11:00 PM","380","2026 May 20 04:07:00 PM"
"13907","2025-05-08T18:30:00","6750","Lilly","Adopted",,"Dog","Female","Yes","Labrador Retriever","Yellow",,"2025 Jan 06 12:00:00 AM","2025 Apr 29 12:00:00 AM","386","2026 May 20 04:07:00 PM"
"13910","2025-05-08T18:40:00","6457","*STELLA","Adopted",,"Dog","Female","Yes","Border Collie","Black","White","2023 Apr 03 12:00:00 AM","2025 Apr 03 12:00:00 AM","412","2026 May 20 04:07:00 PM"
"13998","2025-05-09T00:00:00","6359","Bonbon","Adopted",,"Dog","Female","yes","Border Collie","White","Brown","2024 Mar 19 12:00:00 AM","2025 Apr 29 12:00:00 AM","386","2026 May 20 04:07:00 PM"
"13999","2025-05-09T00:00:00","6955","*Potato","Adopted",,"Dog","Female","yes","Siberian Husky","Tri Color","Black","2025 Feb 24 12:00:00 AM","2025 Mar 27 11:47:00 AM","419","2026 May 20 04:07:00 PM"
"14000","2025-05-09T00:00:00","6779","*SCOUT","Adopted",,"Dog","Male","yes","Golden Retriever","Red",,"2024 Dec 02 12:00:00 AM","2025 May 01 12:00:00 AM","384","2026 May 20 04:07:00 PM"
"13926","2025-05-09T09:21:00","6349","*POTATO","Adopted",,"Dog","Male","Yes","Rottweiler","Black","Tan","2025 Mar 12 12:00:00 AM","2025 Mar 18 12:00:00 AM","428","2026 May 20 04:07:00 PM"
"13955","2025-05-09T12:47:00","6287","*BUSTER","Adopted",,"Dog","Male","Yes","American Pit Bull Terrier","White","Black","2021 Mar 12 12:00:00 AM","2025 Mar 12 12:00:00 AM","434","2026 May 20 04:07:00 PM"
"13957","2025-05-09T12:57:00","6101","BOSTON","Adopted",,"Dog","Male","Yes","Labrador Retriever","Black","White","2023 Oct 22 12:00:00 AM","2025 Feb 21 12:00:00 AM","453","2026 May 20 04:07:00 PM"
"13974","2025-05-09T14:05:00","6757","*HARU","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Torti Point",,"2024 Apr 29 12:00:00 AM","2025 Apr 29 12:00:00 AM","386","2026 May 20 04:07:00 PM"
"13976","2025-05-09T14:17:00","6771",,"Transfer Out",,"Cat","Unknown","No","Domestic Shorthair","Brown Tabby","White","2024 Jun 30 12:00:00 AM","2025 Apr 30 12:00:00 AM","385","2026 May 20 04:07:00 PM"
"13977","2025-05-09T14:17:00","6332","*BISCUITS","Transfer Out",,"Cat","Male","No","Domestic Shorthair","Orange Tabby","White","2023 Mar 15 12:00:00 AM","2025 Mar 23 12:00:00 AM","423","2026 May 20 04:07:00 PM"
"13978","2025-05-09T14:22:00","6790",,"Transfer Out",,"Cat","Unknown","No","Domestic Shorthair","Black","White","2019 May 01 12:00:00 AM","2025 May 01 12:00:00 AM","384","2026 May 20 04:07:00 PM"
"13979","2025-05-09T14:25:00","6740",,"Transfer Out",,"Cat","Unknown","No","Domestic Shorthair","Orange Tabby",,"2023 Apr 29 12:00:00 AM","2025 Apr 29 12:00:00 AM","386","2026 May 20 04:07:00 PM"
"14004","2025-05-09T16:33:00","6670","FLUFFY","Adopted",,"Rabbit","Male","Yes","American","White","Black","2024 Dec 02 12:00:00 AM","2025 Apr 24 12:00:00 AM","391","2026 May 20 04:07:00 PM"
"14010","2025-05-09T17:12:00","6900",,"Reclaimed",,"Cat","Unknown","Unknown","Domestic Shorthair","Orange Tabby",,"2017 May 05 12:00:00 AM","2025 May 05 12:00:00 PM","380","2026 May 20 04:07:00 PM"
"14011","2025-05-09T17:17:00","6583","*TOASTER","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Black",,"2023 Apr 16 12:00:00 AM","2025 Apr 17 12:00:00 AM","398","2026 May 20 04:07:00 PM"
"14016","2025-05-09T18:09:00","7211","Kitty","Euthanized","Injured","Cat","Male","Yes","Domestic Shorthair","Brown Tabby",,"2016 May 09 12:00:00 AM","2025 May 09 12:57:00 PM","376","2026 May 20 04:07:00 PM"
"14017","2025-05-09T18:28:00","7237",,"DOA",,"Mammal","Unknown","Unknown","Bat - Unspecified","Brown","Black",,"2025 May 09 06:28:00 PM","376","2026 May 20 04:07:00 PM"
"14080","2025-05-10T11:05:00","6085","*MEL","Adopted",,"Dog","Male","Yes","American Pit Bull Terrier","Black","White","2023 Sep 17 12:00:00 AM","2024 Sep 17 12:00:00 AM","610","2026 May 20 04:07:00 PM"
"14083","2025-05-10T11:07:00","6636","*RIC FLAIR","Adopted",,"Dog","Male","Yes","American Pit Bull Terrier","White","Brown","2025 Jan 28 12:00:00 AM","2025 Apr 21 12:00:00 AM","394","2026 May 20 04:07:00 PM"
"14086","2025-05-10T11:35:00","6315","*LITTLE BEAR","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Black",,"2025 Mar 09 12:00:00 AM","2025 Mar 10 12:00:00 AM","436","2026 May 20 04:07:00 PM"
"14090","2025-05-10T11:39:00","6371","MELLOW","Adopted",,"Cat","Male","yes","Domestic Shorthair","Black",,"2024 Aug 01 12:00:00 AM","2025 Mar 21 12:00:00 AM","425","2026 May 20 04:07:00 PM"
"14088","2025-05-10T11:42:00","6239","*CHANCE","Adopted",,"Dog","Male","Yes","Chihuahua - Smooth","Red",,"2022 Feb 18 12:00:00 AM","2025 Feb 18 12:00:00 AM","456","2026 May 20 04:07:00 PM"
"14089","2025-05-10T11:47:00","6302","*ROSIE","Adopted",,"Dog","Female","Yes","American Pit Bull Terrier","White","Brown","2024 Mar 08 12:00:00 AM","2025 Mar 13 12:00:00 AM","433","2026 May 20 04:07:00 PM"
"14091","2025-05-10T11:56:00","6285","*spencer","Adopted",,"Dog","Male","Yes","Labrador Retriever","Brown Brindle","White","2025 Feb 04 12:00:00 AM","2025 Mar 03 12:00:00 AM","443","2026 May 20 04:07:00 PM"
"14093","2025-05-10T11:59:00","6259","*CARDI B","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Brown Tabby",,"2025 Feb 26 12:00:00 AM","2025 Feb 26 12:00:00 AM","448","2026 May 20 04:07:00 PM"
"14100","2025-05-10T12:02:00","6828","LADY FITZGERALD","Adopted",,"Cat","Female","Yes","Domestic Long Hair","Cream Ginger Tabby",,"2015 May 03 12:00:00 AM","2025 May 03 12:00:00 AM","382","2026 May 20 04:07:00 PM"
"14094","2025-05-10T12:04:00","6265","*JOJO","Adopted",,"Dog","Male","Yes","Labrador Retriever","Black",,"2024 Sep 12 12:00:00 AM","2025 Feb 27 12:00:00 AM","447","2026 May 20 04:07:00 PM"
"14096","2025-05-10T12:07:00","6323","*MON CHERI","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Brown Tabby",,"2024 Sep 11 12:00:00 AM","2025 Mar 11 12:00:00 AM","435","2026 May 20 04:07:00 PM"
"14098","2025-05-10T12:11:00","6455",,"Adopted",,"Cat","Female","Yes","Domestic Shorthair","BLUE TABBY","White","2024 Oct 03 12:00:00 AM","2025 Apr 03 12:00:00 AM","412","2026 May 20 04:07:00 PM"
"14099","2025-05-10T12:14:00","6354","*PEANUT","Adopted",,"Dog","Female","Yes","Rottweiler","Sable",,"2025 Mar 12 12:00:00 AM","2025 Mar 18 12:00:00 AM","428","2026 May 20 04:07:00 PM"
"14102","2025-05-10T12:17:00","6352","*PEPPER","Adopted",,"Dog","Male","Yes","Rottweiler","Black","White","2025 Mar 12 12:00:00 AM","2025 Mar 18 12:00:00 AM","428","2026 May 20 04:07:00 PM"
